,Open,High,Low,Close,Adjusted close,Volume,Dividend amount,Split coefficient,Return,MA_7,MA_30
2000-02-01,112.37,113.44,109.12,110.0,55.0433521580269,7304700.0,0.0,1.0,-0.020044543429844075,114.95428571428572,114.24933333333334
2000-02-02,112.0,115.81,110.37,113.5,56.7947315448733,7707700.0,0.0,1.0,0.031818181818181746,113.81142857142858,114.39266666666667
2000-02-03,115.0,117.5,114.06,117.12,58.6061582249829,6213800.0,0.0,1.0,0.03189427312775339,113.52571428571427,114.62599999999999
2000-02-04,118.19,118.44,114.81,115.62,57.8555670591916,5405300.0,0.0,1.0,-0.012807377049180335,113.36428571428573,114.87999999999998
2000-02-07,116.0,116.87,113.12,114.12,57.1049758934003,5779500.0,0.0,1.0,-0.012973533990659036,113.45285714285714,115.06333333333333
2000-02-08,116.94,119.0,116.19,118.81,59.5118715650377,5464300.0,0.12,1.0,0.04109709078163326,114.48857142857143,115.36533333333334
2000-02-09,119.0,119.75,117.0,117.37,58.7905762611605,5374700.0,0.0,1.0,-0.01212019190303848,115.22,115.61733333333333
2000-02-10,117.69,119.12,116.87,119.12,59.6671504151779,4446600.0,0.0,1.0,0.014910113316861207,116.52285714285715,115.95466666666667
2000-02-11,119.06,119.44,114.56,115.37,57.7887772279976,5749400.0,0.0,1.0,-0.031480859637340486,116.78999999999999,116.17533333333334
2000-02-14,116.0,116.37,114.5,116.06,58.1343978944388,4544000.0,0.0,1.0,0.005980757562624506,116.63857142857144,116.44833333333334
2000-02-15,115.87,117.44,113.87,117.12,58.6653513820151,5177500.0,0.0,1.0,0.00913320696191633,116.85285714285715,116.48566666666667
2000-02-16,116.5,117.31,115.25,115.75,57.9791190442986,3966900.0,0.0,1.0,-0.01169740437158473,117.08571428571429,116.60866666666668
2000-02-17,116.5,118.87,115.75,116.75,58.48001856088,5237500.0,0.0,1.0,0.008639308855291628,116.79142857142857,116.63366666666667
2000-02-18,115.25,115.94,111.5,112.5,56.351195615409,7673400.0,0.0,1.0,-0.036402569593147804,116.0957142857143,116.58366666666667
2000-02-22,112.0,113.44,108.75,111.0,55.5998463405369,7654800.0,0.0,1.0,-0.013333333333333308,114.93571428571428,116.50033333333334
2000-02-23,110.5,110.5,108.5,108.75,54.4728224282287,7435300.0,0.0,1.0,-0.020270270270270285,113.99000000000001,116.19200000000001
2000-02-24,108.81,111.0,108.19,110.5,55.3493965822462,9112000.0,0.0,1.0,0.016091954022988464,113.19571428571429,115.90866666666668
2000-02-25,109.87,109.87,104.94,108.0,54.0971477907926,10312200.0,0.0,1.0,-0.022624434389140302,111.89285714285714,115.52533333333334
2000-02-28,104.62,106.5,103.94,104.5,52.3439994827577,8479900.0,0.0,1.0,-0.03240740740740744,110.28571428571429,115.06700000000001
2000-02-29,105.56,105.56,100.94,102.75,51.4674253287402,10484900.0,0.0,1.0,-0.01674641148325362,108.28571428571429,114.50466666666667
2000-03-01,102.0,105.5,100.06,100.25,50.2151765372867,10807800.0,0.0,1.0,-0.024330900243308973,106.53571428571429,113.988
2000-03-02,100.5,105.44,99.5,103.12,51.6527581498753,11192900.0,0.0,1.0,0.028628428927680805,105.41,113.442
2000-03-03,107.25,110.0,106.06,108.0,54.0971477907926,10162800.0,0.0,1.0,0.04732350659425899,105.30285714285715,113.07533333333332
2000-03-06,109.94,111.0,101.0,103.06,51.6227041788804,10747400.0,0.0,1.0,-0.04574074074074075,104.24000000000001,112.46066666666665
2000-03-07,106.0,107.0,101.69,103.0,51.5926502078855,10035100.0,0.0,1.0,-0.000582185134872959,103.5257142857143,111.844
2000-03-08,103.0,106.87,102.75,106.25,53.2205736367751,8376400.0,0.0,1.0,0.031553398058252524,103.7757142857143,111.41499999999999
2000-03-09,106.5,108.0,104.12,108.0,54.0971477907926,6334100.0,0.0,1.0,0.016470588235294015,104.5257142857143,111.12333333333332
2000-03-10,107.62,109.0,105.0,105.25,52.7196741201937,7093200.0,0.0,1.0,-0.02546296296296291,105.24000000000001,110.84833333333333
2000-03-13,104.0,109.0,102.5,107.69,53.9418689406524,7871000.0,0.0,1.0,0.02318289786223282,105.89285714285714,110.71933333333332
2000-03-14,107.75,110.0,107.37,108.62,54.4077054910731,7973700.0,0.0,1.0,0.008635899340700304,105.98142857142857,110.59833333333333
2000-03-15,107.5,108.25,106.12,107.0,53.5962482742112,5665900.0,0.0,1.0,-0.014914380408764583,106.5442857142857,110.49833333333332
2000-03-16,109.0,109.81,107.87,109.0,54.598047307374,6622500.0,0.0,1.0,0.01869158878504673,107.40142857142857,110.34833333333333
2000-03-17,108.25,111.69,107.69,110.0,55.0989468239554,8857300.0,0.0,1.0,0.00917431192660545,107.93714285714285,110.111
2000-03-20,110.0,113.37,109.94,112.75,56.4764204945543,6563500.0,0.0,1.0,0.02499999999999991,108.61571428571428,110.01533333333333
2000-03-21,112.81,114.69,111.94,113.5,56.8520951319904,6771600.0,0.0,1.0,0.006651884700665134,109.7942857142857,109.99466666666667
2000-03-22,114.5,115.37,113.87,114.25,57.2277697694264,6137800.0,0.0,1.0,0.0066079295154184425,110.73142857142857,109.84266666666666
2000-03-23,115.87,115.87,111.62,115.25,57.7286692860079,6492400.0,0.0,1.0,0.00875273522975939,111.67857142857143,109.77199999999999
2000-03-24,115.37,122.25,115.06,120.62,60.41849969005,12125600.0,0.0,1.0,0.04659436008676798,113.62428571428572,109.82200000000002
2000-03-27,125.0,128.25,124.62,126.87,63.5491216686839,11862900.0,0.0,1.0,0.05181561930028189,116.17714285714285,110.20533333333333
2000-03-28,125.75,127.0,122.06,122.5,61.3601907812231,8149600.0,0.0,1.0,-0.03444470718057857,117.96285714285715,110.42
2000-03-29,122.31,122.44,118.5,119.0,59.6070424731882,7312300.0,0.0,1.0,-0.02857142857142858,118.85571428571428,110.48266666666667
2000-03-30,118.87,123.0,118.69,122.75,61.4854156603685,9158000.0,0.0,1.0,0.03151260504201692,120.17714285714285,110.716
2000-03-31,122.62,123.75,117.06,118.37,59.2914757777419,8015200.0,0.0,1.0,-0.035682281059063126,120.76571428571428,110.77
2000-04-03,120.0,122.37,119.44,122.0,61.1097410229324,7715600.0,0.0,1.0,0.030666554025513104,121.73,111.08666666666666
2000-04-04,121.5,126.94,115.06,121.19,60.7040124145014,16667200.0,0.0,1.0,-0.006639344262295066,121.81142857142858,111.42633333333333
2000-04-05,120.5,125.75,119.75,125.0,62.6124395726766,8693500.0,0.0,1.0,0.03143823747833974,121.5442857142857,111.968
2000-04-06,123.5,128.0,122.62,122.75,61.4854156603685,8887400.0,0.0,1.0,-0.018000000000000016,121.58,112.37633333333333
2000-04-07,123.5,125.69,121.5,123.12,61.6707484815036,5380300.0,0.0,1.0,0.003014256619144673,122.16857142857144,112.88033333333333
2000-04-10,124.75,125.37,121.56,122.12,61.1698489649222,5507300.0,0.0,1.0,-0.008122157244964234,122.07857142857142,113.46766666666667
2000-04-11,121.62,121.62,117.81,119.37,59.7923752943233,7738700.0,0.0,1.0,-0.02251883393383558,122.22142857142856,114.02166666666668
2000-04-12,119.62,119.62,111.69,113.75,56.9773200111357,8885200.0,0.0,1.0,-0.04708050598977975,121.04285714285713,114.47166666666666
2000-04-13,112.5,114.31,110.0,110.62,55.4095045242359,8236400.0,0.0,1.0,-0.027516483516483503,119.53285714285714,114.72166666666666
2000-04-14,109.81,112.75,102.87,105.0,52.5944492410484,11782000.0,0.0,1.0,-0.05080455613813062,116.67571428571429,114.62166666666667
2000-04-17,103.87,112.25,103.31,111.87,56.0356289199627,9969500.0,0.0,1.0,0.06542857142857139,115.12142857142855,114.91533333333334
2000-04-18,112.25,115.12,110.06,111.5,55.8502960988276,8205500.0,0.0,1.0,-0.0033074103870563976,113.46142857142857,115.19866666666667
2000-04-19,109.75,109.75,102.81,105.0,52.5944492410484,14674500.0,0.0,1.0,-0.058295964125560484,111.01571428571427,115.157
2000-04-20,105.0,105.25,102.06,104.0,52.093549724467,10633300.0,0.0,1.0,-0.00952380952380949,108.82000000000001,115.02366666666667
2000-04-24,102.0,107.19,101.25,106.5,53.3457985159205,8523100.0,0.0,1.0,0.024038461538461453,107.78428571428572,115.06533333333333
2000-04-25,106.5,113.0,106.44,112.5,56.351195615409,9576400.0,0.0,1.0,0.05633802816901401,108.05285714285712,115.22566666666667
2000-04-26,112.5,113.94,109.0,110.5,55.3493965822462,6182800.0,0.0,1.0,-0.01777777777777778,108.83857142857141,115.28833333333333
2000-04-27,109.5,113.12,108.69,110.62,55.4095045242359,6317500.0,0.0,1.0,0.0010859728506786848,108.66000000000001,115.409
2000-04-28,112.0,112.69,110.12,111.5,55.8502960988276,4888600.0,0.0,1.0,0.007955161815223155,108.66000000000001,115.49233333333335
2000-05-01,112.5,113.19,110.44,112.0,56.1007458571183,4196100.0,0.0,1.0,0.004484304932735439,109.66000000000001,115.55900000000001
2000-05-02,111.0,113.62,110.69,111.37,55.785179161672,4085000.0,0.0,1.0,-0.005624999999999991,110.71285714285715,115.513
2000-05-03,110.5,111.12,106.56,108.12,54.1572557327824,5543800.0,0.0,1.0,-0.029182005926192023,110.94428571428573,115.33366666666667
2000-05-04,109.12,109.19,107.19,107.62,53.9068059744917,3631300.0,0.0,1.0,-0.004624491305956324,110.24714285714286,115.11266666666667
2000-05-05,106.62,109.62,106.5,107.87,54.032030853637,4695100.0,0.0,1.0,0.00232298829213895,109.8714285714286,114.86666666666669
2000-05-08,108.06,110.37,107.62,109.75,55.0388388819657,4826900.0,0.13,1.0,0.017428386020209574,109.74714285714286,114.50433333333334
2000-05-09,110.5,110.62,108.25,109.0,54.6627192540707,4864900.0,0.0,1.0,-0.006833712984054663,109.39,113.90866666666668
2000-05-10,105.5,105.69,102.06,103.0,51.6537622309108,10012700.0,0.0,1.0,-0.05504587155963303,108.10428571428572,113.25866666666667
2000-05-11,104.0,107.5,103.19,104.44,52.3759119164692,8106200.0,0.0,1.0,0.013980582524271812,107.11428571428573,112.77333333333333
2000-05-12,103.75,105.75,103.25,104.44,52.3759119164692,5599700.0,0.0,1.0,0.0,106.58857142857144,112.163
2000-05-15,104.0,104.87,102.0,104.19,52.2505387071709,5907800.0,0.0,1.0,-0.0023937188816545163,106.09857142857142,111.69033333333333
2000-05-16,105.12,109.25,105.0,109.0,54.6627192540707,7265800.0,0.0,1.0,0.0461656588924082,106.25999999999999,111.257
2000-05-17,107.5,108.87,106.12,107.87,54.0960323480423,5524500.0,0.0,1.0,-0.010366972477064196,105.99142857142856,110.81300000000002
2000-05-18,106.12,107.31,104.69,106.06,53.1883303127224,4577200.0,0.0,1.0,-0.016779456753499566,105.57142857142857,110.18166666666667
2000-05-19,106.06,107.5,105.0,106.44,53.3788975908558,6419200.0,0.0,1.0,0.0035828776164434917,106.06285714285715,109.638
2000-05-22,106.0,109.25,103.44,109.25,54.788092463369,6769400.0,0.0,1.0,0.026399849680571297,106.75,109.17566666666669
2000-05-23,109.0,110.0,107.12,107.37,53.8452859294456,5978900.0,0.0,1.0,-0.017208237986270025,107.16857142857143,108.684
2000-05-24,106.5,110.0,104.19,109.62,54.9736448131305,8184200.0,0.0,1.0,0.020955574182732528,107.94428571428571,108.359
2000-05-25,110.5,112.25,106.37,106.5,53.4089871610874,5967600.0,0.0,1.0,-0.028461959496442257,107.58714285714287,108.11733333333333
2000-05-26,105.5,107.19,104.56,106.94,53.6296440094525,4296900.0,0.0,1.0,0.0041314553990610126,107.45428571428572,107.99466666666667
2000-05-30,107.75,111.0,107.69,110.94,55.6356153582257,3617500.0,0.0,1.0,0.03740415186085655,108.15142857142858,108.19266666666667
2000-05-31,110.5,110.75,107.19,107.31,53.815196359214,3732500.0,0.0,1.0,-0.032720389399675476,108.2757142857143,108.04066666666668
2000-06-01,107.56,108.94,105.5,106.0,53.1582407424908,5712500.0,0.0,1.0,-0.012207622775137428,107.81142857142858,107.85733333333334
2000-06-02,109.0,109.75,107.62,108.81,54.567435615004,5473300.0,0.0,1.0,0.02650943396226424,108.01714285714286,107.98433333333334
2000-06-05,108.44,114.19,108.44,112.81,56.5734069637772,7281400.0,0.0,1.0,0.03676132708390778,108.47285714285714,108.278
2000-06-06,112.25,114.62,111.25,112.37,56.3527501154121,5369400.0,0.0,1.0,-0.0039003634429571887,109.31142857142858,108.47366666666667
2000-06-07,112.5,121.75,111.5,121.0,60.6806333003904,11115500.0,0.0,1.0,0.07679985761324182,111.32000000000001,108.757
2000-06-08,119.37,122.31,117.5,119.75,60.0537672538988,9325600.0,0.0,1.0,-0.010330578512396715,112.57857142857142,109.06533333333333
2000-06-09,119.87,120.75,118.87,119.69,60.0236776836672,4739100.0,0.0,1.0,-0.0005010438413360907,114.34714285714287,109.36766666666666
2000-06-12,119.12,120.44,118.84,118.84,59.5974087720529,3640300.0,0.0,1.0,-0.007101679338290534,116.18142857142858,109.61233333333332
